date	HG-IV	Fevi	F4	EGC
2016-12-04	68.706267	68.706267	80.986445	-3.845592
2016-12-05	51.589748	51.589748	75.417142	-3.845592
2016-12-06	73.337106	73.337106	86.10611	-2.327171
2016-12-07	68.706267	68.706267	86.10611	-3.845592
2016-12-08	73.251602	73.251602	80.986445	-3.845592
2016-12-09	73.251602	73.251602	86.10611	-3.845592
2016-12-10	73.337106	73.337106	80.986445	-7.186796
2016-12-11	73.251602	73.251602	80.986445	-7.186796
2016-12-12	74.237657	74.237657	86.10611	-3.845592
2016-12-13	78.00813	78.00813	75.417142	-7.186796
2016-12-14	84.687308	84.687308	80.986445	-10.008535
2016-12-15	86.519475	86.519475	86.10611	-3.845592
2016-12-16	99.860325	99.860325	67.346022	-2.327171
2016-12-17	103.837444	103.837444	84.685667	-30.631124
2016-12-18	98.010466	98.010466	80.986445	-29.322438
2016-12-19	94.155012	94.155012	75.417142	-22.302148
2016-12-20	88.223956	88.223956	67.346022	-29.541136
2016-12-21	83.721654	83.721654	76.009574	-34.606315
2016-12-22	120.560776	120.560776	72.420457	-10.008535
2016-12-23	130.818156	130.818156	75.417142	-6.689921
2016-12-24	130.478187	130.478187	75.417142	10.355592
2016-12-25	110.458972	110.458972	76.009574	8.510357
2016-12-26	102.897627	102.897627	75.417142	-2.327171
2016-12-27	117.106314	117.106314	75.417142	10.355592
2016-12-28	88.223956	88.223956	75.417142	6.539195
2016-12-29	94.155012	94.155012	75.417142	39.592891
2016-12-30	130.478187	130.478187	75.417142	39.592891
2016-12-31	130.818156	130.818156	75.417142	40.251302
2017-01-01	139.421332	139.421332	84.205534	37.614203
2017-01-02	130.818156	130.818156	75.417142	23.937334
2017-01-03	126.324921	126.324921	75.417142	21.614212
2017-01-04	118.721352	118.721352	75.417142	23.937334
2017-01-05	120.929195	120.929195	67.346022	10.68472
2017-01-06	99.209128	99.209128	80.986445	-6.689921
2017-01-07	112.203226	112.203226	75.417142	14.704675
2017-01-08	104.210522	104.210522	75.417142	20.910163
2017-01-09	96.194475	96.194475	75.417142	10.355592
2017-01-10	85.783568	85.783568	75.417142	-2.327171
2017-01-11	71.472053	71.472053	75.417142	-21.393259
2017-01-12	71.472053	71.472053	75.417142	-20.047416
2017-01-13	76.665074	76.665074	75.417142	-15.68695
2017-01-14	71.472053	71.472053	75.417142	-6.689921
2017-01-15	68.049852	68.049852	80.986445	-15.68695
2017-01-16	34.638342	34.638342	48.511183	-20.047416
2017-01-17	60.562017	60.562017	75.417142	-17.111008
2017-01-18	51.213747	51.213747	75.417142	-22.302148
2017-01-19	49.317193	49.317193	75.417142	-22.302148
2017-01-20	37.917992	37.917992	71.206672	-28.434122
2017-01-21	51.589748	51.589748	75.417142	-28.888549
2017-01-22	46.598066	46.598066	80.986445	-28.434122
2017-01-23	41.995562	41.995562	75.417142	-28.434122
2017-01-24	33.099209	33.099209	75.417142	-22.302148
2017-01-25	55.506477	55.506477	75.417142	-42.967596
