study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title
PRJEB43885	SAMEA8401571	ERX5313584	ERR5533175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533175/ERR5533175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533175/ERR5533175_2.fastq.gz	RAS_HG_04_1718_2
PRJEB43885	SAMEA8401576	ERX5313585	ERR5533176	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533176/ERR5533176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533176/ERR5533176_2.fastq.gz	RAS_HG_04_1718_1
PRJEB43885	SAMEA8401579	ERX5313586	ERR5533177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533177/ERR5533177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533177/ERR5533177_2.fastq.gz	RAS_HG_03_1718_3
PRJEB43885	SAMEA8401582	ERX5313587	ERR5533178	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533178/ERR5533178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533178/ERR5533178_2.fastq.gz	RAS_HG_03_1718_2
PRJEB43885	SAMEA8401587	ERX5313588	ERR5533179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533179/ERR5533179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533179/ERR5533179_2.fastq.gz	RAS_HG_02_1718_2
PRJEB43885	SAMEA8401593	ERX5313589	ERR5533180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533180/ERR5533180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533180/ERR5533180_2.fastq.gz	RAS_HG_01_1718
PRJEB43885	SAMEA8401595	ERX5313590	ERR5533181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533181/ERR5533181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533181/ERR5533181_2.fastq.gz	RAS_HG_12_1718
PRJEB43885	SAMEA8401598	ERX5313591	ERR5533182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533182/ERR5533182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533182/ERR5533182_2.fastq.gz	RAS_HG_11_1718
PRJEB43885	SAMEA8401601	ERX5313592	ERR5533183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533183/ERR5533183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533183/ERR5533183_2.fastq.gz	RAS_HG_10_1718
PRJEB43885	SAMEA8401604	ERX5313593	ERR5533184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533184/ERR5533184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533184/ERR5533184_2.fastq.gz	RAS_HG_09_1718_2
PRJEB43885	SAMEA8401606	ERX5313594	ERR5533185	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533185/ERR5533185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533185/ERR5533185_2.fastq.gz	RAS_HG_09_1718_1
PRJEB43885	SAMEA8401609	ERX5313595	ERR5533186	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533186/ERR5533186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533186/ERR5533186_2.fastq.gz	RAS_HG_08_1718_2
PRJEB43885	SAMEA8401613	ERX5313596	ERR5533187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533187/ERR5533187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533187/ERR5533187_2.fastq.gz	RAS_HG_08_1718_1
PRJEB43885	SAMEA8401615	ERX5313597	ERR5533188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533188/ERR5533188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533188/ERR5533188_2.fastq.gz	RAS_Fevi_07_1718_2
PRJEB43885	SAMEA8401619	ERX5313598	ERR5533189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533189/ERR5533189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533189/ERR5533189_2.fastq.gz	RAS_Fevi_06_1718_3
PRJEB43885	SAMEA8401622	ERX5313599	ERR5533190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533190/ERR5533190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533190/ERR5533190_2.fastq.gz	RAS_Fevi_06_1718_2
PRJEB43885	SAMEA8401625	ERX5313600	ERR5533191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533191/ERR5533191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533191/ERR5533191_2.fastq.gz	RAS_Fevi_06_1718_1
PRJEB43885	SAMEA8401629	ERX5313601	ERR5533192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533192/ERR5533192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533192/ERR5533192_2.fastq.gz	RAS_Fevi_05_1718_2
PRJEB43885	SAMEA8401632	ERX5313602	ERR5533193	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533193/ERR5533193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533193/ERR5533193_2.fastq.gz	RAS_Fevi_05_1718_1
PRJEB43885	SAMEA8401635	ERX5313603	ERR5533194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533194/ERR5533194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533194/ERR5533194_2.fastq.gz	RAS_Fevi_04_1718_4
PRJEB43885	SAMEA8401636	ERX5313604	ERR5533195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533195/ERR5533195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533195/ERR5533195_2.fastq.gz	RAS_Fevi_04_1718_3
PRJEB43885	SAMEA8401639	ERX5313605	ERR5533196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533196/ERR5533196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533196/ERR5533196_2.fastq.gz	RAS_Fevi_04_1718_2
PRJEB43885	SAMEA8401641	ERX5313606	ERR5533197	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533197/ERR5533197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533197/ERR5533197_2.fastq.gz	RAS_Fevi_04_1718_1
PRJEB43885	SAMEA8401642	ERX5313607	ERR5533198	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533198/ERR5533198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533198/ERR5533198_2.fastq.gz	RAS_Fevi_03_1718_3
PRJEB43885	SAMEA8401644	ERX5313608	ERR5533199	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533199/ERR5533199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533199/ERR5533199_2.fastq.gz	RAS_Fevi_03_1718_2
PRJEB43885	SAMEA8401646	ERX5313609	ERR5533200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533200/ERR5533200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533200/ERR5533200_2.fastq.gz	RAS_Fevi_03_1718_1
PRJEB43885	SAMEA8401648	ERX5313610	ERR5533201	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533201/ERR5533201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533201/ERR5533201_2.fastq.gz	RAS_Fevi_02_1718_2
PRJEB43885	SAMEA8401651	ERX5313611	ERR5533202	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533202/ERR5533202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533202/ERR5533202_2.fastq.gz	RAS_Fevi_02_1718_1
PRJEB43885	SAMEA8401654	ERX5313612	ERR5533203	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533203/ERR5533203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533203/ERR5533203_2.fastq.gz	RAS_Fevi_01_1718
PRJEB43885	SAMEA8401656	ERX5313613	ERR5533204	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533204/ERR5533204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533204/ERR5533204_2.fastq.gz	RAS_Fevi_12_1718
PRJEB43885	SAMEA8401659	ERX5313614	ERR5533205	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533205/ERR5533205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533205/ERR5533205_2.fastq.gz	RAS_Fevi_11_1718
PRJEB43885	SAMEA8401661	ERX5313615	ERR5533206	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533206/ERR5533206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533206/ERR5533206_2.fastq.gz	RAS_Fevi_10_1718
PRJEB43885	SAMEA8401664	ERX5313616	ERR5533207	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533207/ERR5533207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533207/ERR5533207_2.fastq.gz	RAS_Fevi_09_1718_2
PRJEB43885	SAMEA8401667	ERX5313617	ERR5533208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533208/ERR5533208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533208/ERR5533208_2.fastq.gz	RAS_Fevi_09_1718_1
PRJEB43885	SAMEA8401670	ERX5313618	ERR5533209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533209/ERR5533209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533209/ERR5533209_2.fastq.gz	RAS_Fevi_08_1718_2
PRJEB43885	SAMEA8401673	ERX5313619	ERR5533210	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533210/ERR5533210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533210/ERR5533210_2.fastq.gz	RAS_Fevi_08_1718_1
PRJEB43885	SAMEA8401675	ERX5313620	ERR5533211	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533211/ERR5533211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533211/ERR5533211_2.fastq.gz	RAS_F4_07_1718_2
PRJEB43885	SAMEA8401678	ERX5313621	ERR5533212	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533212/ERR5533212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533212/ERR5533212_2.fastq.gz	RAS_F4_07_1718_1
PRJEB43885	SAMEA8401682	ERX5313622	ERR5533213	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533213/ERR5533213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533213/ERR5533213_2.fastq.gz	RAS_F4_06_1718_3
PRJEB43885	SAMEA8401684	ERX5313623	ERR5533214	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533214/ERR5533214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533214/ERR5533214_2.fastq.gz	RAS_F4_06_1718_2
PRJEB43885	SAMEA8401688	ERX5313624	ERR5533215	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533215/ERR5533215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533215/ERR5533215_2.fastq.gz	RAS_F4_06_1718_1
PRJEB43885	SAMEA8401690	ERX5313625	ERR5533216	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533216/ERR5533216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533216/ERR5533216_2.fastq.gz	RAS_F4_05_1718_2
PRJEB43885	SAMEA8401694	ERX5313626	ERR5533217	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533217/ERR5533217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533217/ERR5533217_2.fastq.gz	RAS_F4_05_1718_1
PRJEB43885	SAMEA8401696	ERX5313627	ERR5533218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533218/ERR5533218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533218/ERR5533218_2.fastq.gz	RAS_F4_04_1718_4
PRJEB43885	SAMEA8401698	ERX5313628	ERR5533219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533219/ERR5533219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533219/ERR5533219_2.fastq.gz	RAS_F4_04_1718_3
PRJEB43885	SAMEA8401701	ERX5313629	ERR5533220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533220/ERR5533220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533220/ERR5533220_2.fastq.gz	RAS_F4_04_1718_2
PRJEB43885	SAMEA8401703	ERX5313630	ERR5533221	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533221/ERR5533221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533221/ERR5533221_2.fastq.gz	RAS_F4_04_1718_1
PRJEB43885	SAMEA8401705	ERX5313631	ERR5533222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533222/ERR5533222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533222/ERR5533222_2.fastq.gz	RAS_F4_03_1718_3
PRJEB43885	SAMEA8401709	ERX5313632	ERR5533223	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533223/ERR5533223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533223/ERR5533223_2.fastq.gz	RAS_F4_03_1718_1
PRJEB43885	SAMEA8401711	ERX5313633	ERR5533224	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533224/ERR5533224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533224/ERR5533224_2.fastq.gz	RAS_F4_02_1718_2
PRJEB43885	SAMEA8401713	ERX5313634	ERR5533225	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533225/ERR5533225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533225/ERR5533225_2.fastq.gz	RAS_F4_02_1718_1
PRJEB43885	SAMEA8401714	ERX5313635	ERR5533226	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533226/ERR5533226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533226/ERR5533226_2.fastq.gz	RAS_F4_01_1718
PRJEB43885	SAMEA8401716	ERX5313636	ERR5533227	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533227/ERR5533227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533227/ERR5533227_2.fastq.gz	RAS_F4_12_1718
PRJEB43885	SAMEA8401719	ERX5313637	ERR5533228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533228/ERR5533228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533228/ERR5533228_2.fastq.gz	RAS_F4_11_1718
PRJEB43885	SAMEA8401721	ERX5313638	ERR5533229	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533229/ERR5533229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533229/ERR5533229_2.fastq.gz	RAS_F4_10_1718
PRJEB43885	SAMEA8401723	ERX5313639	ERR5533230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533230/ERR5533230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533230/ERR5533230_2.fastq.gz	RAS_F4_09_1718_2
PRJEB43885	SAMEA8401725	ERX5313640	ERR5533231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533231/ERR5533231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533231/ERR5533231_2.fastq.gz	RAS_F4_09_1718_1
PRJEB43885	SAMEA8401731	ERX5313641	ERR5533232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533232/ERR5533232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533232/ERR5533232_2.fastq.gz	RAS_F4_08_1718_2
PRJEB43885	SAMEA8401732	ERX5313642	ERR5533233	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533233/ERR5533233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533233/ERR5533233_2.fastq.gz	RAS_F4_08_1718_1
