study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title
PRJEB43504	SAMEA8401562	ERX5313686	ERR5533279	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533279/ERR5533279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533279/ERR5533279_2.fastq.gz	RAS_HG_07_1617_3
PRJEB43504	SAMEA8401565	ERX5313687	ERR5533280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533280/ERR5533280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533280/ERR5533280_2.fastq.gz	RAS_HG_07_1617_2
PRJEB43504	SAMEA8401568	ERX5313688	ERR5533281	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533281/ERR5533281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533281/ERR5533281_2.fastq.gz	RAS_HG_07_1617_1
PRJEB43504	SAMEA8401572	ERX5313689	ERR5533282	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533282/ERR5533282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533282/ERR5533282_2.fastq.gz	RAS_HG_06_1617_2
PRJEB43504	SAMEA8401573	ERX5313690	ERR5533283	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533283/ERR5533283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533283/ERR5533283_2.fastq.gz	RAS_HG_06_1617_1
PRJEB43504	SAMEA8401574	ERX5313691	ERR5533284	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533284/ERR5533284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533284/ERR5533284_2.fastq.gz	RAS_HG_05_1617_2
PRJEB43504	SAMEA8401578	ERX5313692	ERR5533285	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533285/ERR5533285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533285/ERR5533285_2.fastq.gz	RAS_HG_05_1617_1
PRJEB43504	SAMEA8401581	ERX5313693	ERR5533286	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533286/ERR5533286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533286/ERR5533286_2.fastq.gz	RAS_HG_04_1617_2
PRJEB43504	SAMEA8401584	ERX5313694	ERR5533287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533287/ERR5533287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533287/ERR5533287_2.fastq.gz	RAS_HG_04_1617_1
PRJEB43504	SAMEA8401586	ERX5313695	ERR5533288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533288/ERR5533288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533288/ERR5533288_2.fastq.gz	RAS_HG_03_1617_4
PRJEB43504	SAMEA8401589	ERX5313696	ERR5533289	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533289/ERR5533289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533289/ERR5533289_2.fastq.gz	RAS_HG_03_1617_3
PRJEB43504	SAMEA8401592	ERX5313697	ERR5533290	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533290/ERR5533290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533290/ERR5533290_2.fastq.gz	RAS_HG_03_1617_2
PRJEB43504	SAMEA8401597	ERX5313698	ERR5533291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533291/ERR5533291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533291/ERR5533291_2.fastq.gz	RAS_HG_03_1617_1
PRJEB43504	SAMEA8401600	ERX5313699	ERR5533292	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533292/ERR5533292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533292/ERR5533292_2.fastq.gz	RAS_HG_02_1617_2
PRJEB43504	SAMEA8401603	ERX5313700	ERR5533293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533293/ERR5533293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533293/ERR5533293_2.fastq.gz	RAS_HG_02_1617_1
PRJEB43504	SAMEA8401608	ERX5313701	ERR5533294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533294/ERR5533294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533294/ERR5533294_2.fastq.gz	RAS_HG_01_1617
PRJEB43504	SAMEA8401611	ERX5313702	ERR5533295	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533295/ERR5533295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533295/ERR5533295_2.fastq.gz	RAS_HG_12_1617
PRJEB43504	SAMEA8401614	ERX5313703	ERR5533296	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533296/ERR5533296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533296/ERR5533296_2.fastq.gz	RAS_HG_11_1617
PRJEB43504	SAMEA8401617	ERX5313704	ERR5533297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533297/ERR5533297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533297/ERR5533297_2.fastq.gz	RAS_HG_10_1617
PRJEB43504	SAMEA8401620	ERX5313705	ERR5533298	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533298/ERR5533298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533298/ERR5533298_2.fastq.gz	RAS_HG_09_1617_2
PRJEB43504	SAMEA8401623	ERX5313706	ERR5533299	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533299/ERR5533299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533299/ERR5533299_2.fastq.gz	RAS_HG_09_1617_1
PRJEB43504	SAMEA8401626	ERX5313707	ERR5533300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533300/ERR5533300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533300/ERR5533300_2.fastq.gz	RAS_HG_08_1617_2
PRJEB43504	SAMEA8401628	ERX5313708	ERR5533301	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533301/ERR5533301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533301/ERR5533301_2.fastq.gz	RAS_HG_08_1617_1
PRJEB43504	SAMEA8401631	ERX5313709	ERR5533302	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533302/ERR5533302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533302/ERR5533302_2.fastq.gz	RAS_Fevi_07_1617_4
PRJEB43504	SAMEA8401634	ERX5313710	ERR5533303	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533303/ERR5533303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533303/ERR5533303_2.fastq.gz	RAS_Fevi_07_1617_3
PRJEB43504	SAMEA8401637	ERX5313711	ERR5533304	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533304/ERR5533304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533304/ERR5533304_2.fastq.gz	RAS_Fevi_07_1617_2
PRJEB43504	SAMEA8401638	ERX5313712	ERR5533305	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533305/ERR5533305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533305/ERR5533305_2.fastq.gz	RAS_Fevi_07_1617_1
PRJEB43504	SAMEA8401640	ERX5313713	ERR5533306	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533306/ERR5533306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533306/ERR5533306_2.fastq.gz	RAS_Fevi_06_1617_2
PRJEB43504	SAMEA8401643	ERX5313714	ERR5533307	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533307/ERR5533307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533307/ERR5533307_2.fastq.gz	RAS_Fevi_06_1617_1
PRJEB43504	SAMEA8401645	ERX5313715	ERR5533308	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533308/ERR5533308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533308/ERR5533308_2.fastq.gz	RAS_Fevi_05_1617_2
PRJEB43504	SAMEA8401647	ERX5313716	ERR5533309	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533309/ERR5533309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533309/ERR5533309_2.fastq.gz	RAS_Fevi_05_1617_1
PRJEB43504	SAMEA8401550	ERX5313717	ERR5533310	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533310/ERR5533310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533310/ERR5533310_2.fastq.gz	RAS_Fevi_04_1617_2
PRJEB43504	SAMEA8401553	ERX5313718	ERR5533311	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533311/ERR5533311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533311/ERR5533311_2.fastq.gz	RAS_Fevi_04_1617_1
PRJEB43504	SAMEA8401653	ERX5313719	ERR5533312	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533312/ERR5533312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533312/ERR5533312_2.fastq.gz	RAS_Fevi_03_1617_4
PRJEB43504	SAMEA8401657	ERX5313720	ERR5533313	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533313/ERR5533313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533313/ERR5533313_2.fastq.gz	RAS_Fevi_03_1617_3
PRJEB43504	SAMEA8401660	ERX5313721	ERR5533314	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533314/ERR5533314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533314/ERR5533314_2.fastq.gz	RAS_Fevi_03_1617_2
PRJEB43504	SAMEA8401663	ERX5313722	ERR5533315	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533315/ERR5533315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533315/ERR5533315_2.fastq.gz	RAS_Fevi_03_1617_1
PRJEB43504	SAMEA8401666	ERX5313723	ERR5533316	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533316/ERR5533316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533316/ERR5533316_2.fastq.gz	RAS_Fevi_02_1617_2
PRJEB43504	SAMEA8401669	ERX5313724	ERR5533317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533317/ERR5533317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533317/ERR5533317_2.fastq.gz	RAS_Fevi_02_1617_1
