Kingdom	Phylum	Class	Order	Family	Genus
asv189	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
asv190	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
asv191	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Arctic97B-4_marine_group	NA	NA
asv192	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
asv193	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
asv194	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43_clade
asv195	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
asv196	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group
asv197	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
asv198	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
asv199	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
asv200	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
asv201	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
asv202	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	NA	NA
asv203	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
asv204	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43_clade
asv205	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
asv206	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
asv207	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
asv208	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	NA
asv209	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	NA	NA
asv210	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Nonlabens
asv211	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
asv212	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	NA	NA
asv213	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
asv214	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43_clade
asv215	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA
asv216	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
asv217	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
asv218	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75_clade
asv219	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
asv220	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
asv221	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA
asv222	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
asv223	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
